,Año,Semana,Ubigeo,Casos
302,2021,7,150104,0.0
303,2021,7,70102,0.0
304,2021,7,150105,0.0
305,2021,7,70101,0.0
306,2021,7,150106,0.0
307,2021,7,70103,0.0
308,2021,7,150107,0.0
309,2021,7,150108,0.0
310,2021,7,150109,0.0
311,2021,7,150110,0.0
312,2021,7,150111,0.0
313,2021,7,150112,0.0
314,2021,7,150113,0.0
315,2021,7,150114,0.0
316,2021,7,70104,0.0
317,2021,7,70105,0.0
318,2021,7,150115,0.0
319,2021,7,150101,1.0
320,2021,7,150116,0.0
321,2021,7,150117,0.0
322,2021,7,150118,0.0
323,2021,7,150119,0.0
324,2021,7,150120,0.0
325,2021,7,70107,0.0
326,2021,7,150122,0.0
327,2021,7,150123,0.0
328,2021,7,150124,0.0
329,2021,7,150121,0.0
330,2021,7,150125,0.0
331,2021,7,150126,0.0
332,2021,7,150127,0.0
333,2021,7,150128,0.0
334,2021,7,150129,0.0
335,2021,7,150130,0.0
336,2021,7,150131,0.0
337,2021,7,150132,1.0
338,2021,7,150133,0.0
339,2021,7,150134,0.0
340,2021,7,150135,0.0
341,2021,7,150136,0.0
342,2021,7,150137,0.0
343,2021,7,150138,0.0
344,2021,7,150139,0.0
345,2021,7,150140,0.0
346,2021,7,150141,0.0
347,2021,7,70106,0.0
348,2021,7,150142,0.0
349,2021,7,150143,0.0
350,2021,8,150102,0.0
351,2021,8,150103,0.0
352,2021,8,150104,0.0
353,2021,8,70102,0.0
354,2021,8,150105,0.0
355,2021,8,70101,0.0
356,2021,8,150106,0.0
357,2021,8,70103,0.0
358,2021,8,150107,0.0
359,2021,8,150108,0.0
360,2021,8,150109,0.0
361,2021,8,150110,1.0
362,2021,8,150111,0.0
363,2021,8,150112,0.0
364,2021,8,150113,0.0
365,2021,8,150114,0.0
366,2021,8,70104,0.0
367,2021,8,70105,0.0
368,2021,8,150115,0.0
369,2021,8,150101,1.0
370,2021,8,150116,0.0
371,2021,8,150117,0.0
372,2021,8,150118,0.0
373,2021,8,150119,0.0
374,2021,8,150120,0.0
375,2021,8,70107,0.0
376,2021,8,150122,0.0
377,2021,8,150123,0.0
378,2021,8,150124,0.0
379,2021,8,150121,0.0
380,2021,8,150125,0.0
381,2021,8,150126,0.0
382,2021,8,150127,0.0
383,2021,8,150128,0.0
384,2021,8,150129,0.0
385,2021,8,150130,0.0
386,2021,8,150131,0.0
387,2021,8,150132,0.0
388,2021,8,150133,0.0
389,2021,8,150134,0.0
390,2021,8,150135,0.0
391,2021,8,150136,0.0
392,2021,8,150137,0.0
393,2021,8,150138,0.0
394,2021,8,150139,0.0
395,2021,8,150140,0.0
396,2021,8,150141,0.0
397,2021,8,70106,0.0
398,2021,8,150142,0.0
399,2021,8,150143,0.0
400,2021,9,150102,0.0
401,2021,9,150103,0.0
402,2021,9,150104,0.0
403,2021,9,70102,0.0
404,2021,9,150105,0.0
405,2021,9,70101,0.0
406,2021,9,150106,0.0
407,2021,9,70103,0.0
408,2021,9,150107,0.0
409,2021,9,150108,0.0
410,2021,9,150109,0.0
411,2021,9,150110,0.0
412,2021,9,150111,0.0
413,2021,9,150112,0.0
414,2021,9,150113,0.0
415,2021,9,150114,0.0
416,2021,9,70104,0.0
417,2021,9,70105,0.0
418,2021,9,150115,0.0
419,2021,9,150101,1.0
420,2021,9,150116,0.0
421,2021,9,150117,0.0
422,2021,9,150118,1.0
423,2021,9,150119,0.0
424,2021,9,150120,0.0
425,2021,9,70107,0.0
426,2021,9,150122,0.0
427,2021,9,150123,0.0
428,2021,9,150124,0.0
429,2021,9,150121,0.0
430,2021,9,150125,0.0
431,2021,9,150126,0.0
432,2021,9,150127,0.0
433,2021,9,150128,0.0
434,2021,9,150129,0.0
435,2021,9,150130,0.0
436,2021,9,150131,0.0
437,2021,9,150132,0.0
438,2021,9,150133,0.0
439,2021,9,150134,0.0
440,2021,9,150135,0.0
441,2021,9,150136,0.0
442,2021,9,150137,0.0
443,2021,9,150138,0.0
444,2021,9,150139,0.0
445,2021,9,150140,0.0
446,2021,9,150141,0.0
447,2021,9,70106,0.0
448,2021,9,150142,0.0
449,2021,9,150143,0.0
450,2021,10,150102,0.0
451,2021,10,150103,0.0
452,2021,10,150104,0.0
453,2021,10,70102,0.0
454,2021,10,150105,0.0
455,2021,10,70101,0.0
456,2021,10,150106,4.0
457,2021,10,70103,0.0
458,2021,10,150107,2.0
459,2021,10,150108,0.0
460,2021,10,150109,0.0
461,2021,10,150110,1.0
462,2021,10,150111,0.0
463,2021,10,150112,0.0
464,2021,10,150113,0.0
465,2021,10,150114,0.0
466,2021,10,70104,0.0
467,2021,10,70105,0.0
468,2021,10,150115,0.0
469,2021,10,150101,10.0
470,2021,10,150116,0.0
471,2021,10,150117,0.0
472,2021,10,150118,10.0
473,2021,10,150119,0.0
474,2021,10,150120,0.0
475,2021,10,70107,0.0
476,2021,10,150122,0.0
477,2021,10,150123,0.0
478,2021,10,150124,0.0
479,2021,10,150121,0.0
480,2021,10,150125,1.0
481,2021,10,150126,0.0
482,2021,10,150127,0.0
483,2021,10,150128,0.0
484,2021,10,150129,0.0
485,2021,10,150130,0.0
486,2021,10,150131,0.0
487,2021,10,150132,0.0
488,2021,10,150133,0.0
489,2021,10,150134,0.0
490,2021,10,150135,0.0
491,2021,10,150136,0.0
492,2021,10,150137,0.0
493,2021,10,150138,0.0
494,2021,10,150139,0.0
495,2021,10,150140,0.0
496,2021,10,150141,0.0
497,2021,10,70106,0.0
498,2021,10,150142,0.0
499,2021,10,150143,2.0
500,2021,11,150102,0.0
501,2021,11,150103,0.0
502,2021,11,150104,0.0
503,2021,11,70102,0.0
504,2021,11,150105,0.0
505,2021,11,70101,0.0
506,2021,11,150106,8.0
507,2021,11,70103,0.0
508,2021,11,150107,2.0
509,2021,11,150108,0.0
510,2021,11,150109,0.0
511,2021,11,150110,0.0
