Año,Mes,Semana del mes,Semana,Ubigeo,P129G,P142A,P172C_1,P172C_2,P129B,P172B_1,P172B_2,P172D,P172G,P908_5,P908_6,P908_7,P908_8,P908_9,P910_1,P910_2,P910_3,P910_4
2021,1,2,2,150138,,,,,,,,,,,,,,,,,,
2021,1,2,2,150139,,,,,,,,,,,,,,,,,,
2021,1,2,2,150140,,,,,,,,,,,,,,,,,,
2021,1,2,2,150141,,,,,,,,,,,,,,,,,,
2021,1,2,2,70106,,,,,,,,,,,,,,,,,,
2021,1,2,2,150142,,,,,,,,,,,,,,,,,,
2021,1,2,2,150143,,,,,,,,,,,,,,,,,,
2021,1,3,3,150102,,,,,,,,,,,,,,,,,,
2021,1,3,3,150103,,,,,,,,,,,,,,,,,,
2021,1,3,3,150104,,,,,,,,,,,,,,,,,,
2021,1,3,3,70102,,,,,,,,,,,,,,,,,,
2021,1,3,3,150105,,,,,,,,,,,,,,,,,,
2021,1,3,3,70101,,,,,,,,,,,,,,,,,,
2021,1,3,3,150106,,,,,,,,,,,,,,,,,,
2021,1,3,3,70103,,,,,,,,,,,,,,,,,,
2021,1,3,3,150107,,,,,,,,,,,,,,,,,,
2021,1,3,3,150108,,,,,,,,,,,,,,,,,,
2021,1,3,3,150109,,,,,,,,,,,,,,,,,,
2021,1,3,3,150110,,,,,,,,,,,,,,,,,,
2021,1,3,3,150111,,,,,,,,,,,,,,,,,,
2021,1,3,3,150112,,,,,,,,,,,,,,,,,,
2021,1,3,3,150113,,,,,,,,,,,,,,,,,,
2021,1,3,3,150114,,,,,,,,,,,,,,,,,,
2021,1,3,3,70104,,,,,,,,,,,,,,,,,,
2021,1,3,3,70105,,,,,,,,,,,,,,,,,,
2021,1,3,3,150115,,,,,,,,,,,,,,,,,,
2021,1,3,3,150101,,,,,,,,,,,,,,,,,,
2021,1,3,3,150116,,,,,,,,,,,,,,,,,,
2021,1,3,3,150117,,,,,,,,,,,,,,,,,,
2021,1,3,3,150118,,,,,,,,,,,,,,,,,,
2021,1,3,3,150119,,,,,,,,,,,,,,,,,,
2021,1,3,3,150120,,,,,,,,,,,,,,,,,,
2021,1,3,3,70107,,,,,,,,,,,,,,,,,,
2021,1,3,3,150122,,,,,,,,,,,,,,,,,,
2021,1,3,3,150123,,,,,,,,,,,,,,,,,,
2021,1,3,3,150124,,,,,,,,,,,,,,,,,,
2021,1,3,3,150121,,,,,,,,,,,,,,,,,,
2021,1,3,3,150125,,,,,,,,,,,,,,,,,,
2021,1,3,3,150126,,,,,,,,,,,,,,,,,,
2021,1,3,3,150127,,,,,,,,,,,,,,,,,,
2021,1,3,3,150128,,,,,,,,,,,,,,,,,,
2021,1,3,3,150129,,,,,,,,,,,,,,,,,,
2021,1,3,3,150130,,,,,,,,,,,,,,,,,,
2021,1,3,3,150131,,,,,,,,,,,,,,,,,,
2021,1,3,3,150132,,,,,,,,,,,,,,,,,,
2021,1,3,3,150133,,,,,,,,,,,,,,,,,,
2021,1,3,3,150134,,,,,,,,,,,,,,,,,,
2021,1,3,3,150135,,,,,,,,,,,,,,,,,,
2021,1,3,3,150136,,,,,,,,,,,,,,,,,,
2021,1,3,3,150137,,,,,,,,,,,,,,,,,,
2021,1,3,3,150138,,,,,,,,,,,,,,,,,,
2021,1,3,3,150139,,,,,,,,,,,,,,,,,,
2021,1,3,3,150140,,,,,,,,,,,,,,,,,,
2021,1,3,3,150141,,,,,,,,,,,,,,,,,,
2021,1,3,3,70106,,,,,,,,,,,,,,,,,,
2021,1,3,3,150142,,,,,,,,,,,,,,,,,,
2021,1,3,3,150143,,,,,,,,,,,,,,,,,,
2021,1,4,4,150102,,,,,,,,,,,,,,,,,,
2021,1,4,4,150103,,,,,,,,,,,,,,,,,,
2021,1,4,4,150104,,,,,,,,,,,,,,,,,,
2021,1,4,4,70102,,,,,,,,,,,,,,,,,,
