,separacion_basura,exposicion_deslizamientos,exposicion_precipicios,exposicion_inundaciones,informacion_basura,conserva_agua,purificacion_agua,sanitario_compartido,agua_potable,barrido_calle,viento_min,exposicion_basurales,viento_max
390,0.4148564902446127,0.0,0.0,0.0091911764705882,0.0432120458477508,0.977384261914682,0.9922758998152772,0.1239731109019556,1.0,0.0,6.0,0.0,8.0
391,0.3284211605594225,0.0068418104842781,0.0003558640506737,0.0183081437505664,0.0959609723786902,0.9827843291180164,0.9753727893951458,0.0451219958889828,1.0,0.9648785781389442,7.0,0.0184163852043796,7.0
392,0.4258072961515547,0.1081067665289256,0.0006455208699859,0.0034017480959325,0.1707797082535461,0.9679480275925711,0.9517267451581136,0.1834035250873085,0.99997593059455,0.9263522697704188,2.0,0.0083966696182605,12.0
393,0.3453786251671527,0.0152426009519567,0.0072330877149057,0.0215011899679346,0.0882083525353039,0.9681944888620369,0.9764475500232322,0.0979678271901057,0.9998041219622472,0.7253058817863645,2.0,0.0261244838484508,10.0
394,0.3014420580059458,0.017250510057448,0.0034231596293667,0.0204399613240439,0.0899099877368883,0.920070337391898,0.9735674244783556,0.0566444479595733,0.9998911100859904,0.7248709363302507,4.0,0.0536184033026685,8.0
395,0.7595915841584158,0.0,0.0,0.0,0.0,0.9230769230769232,0.9907441140583896,0.0165588611031793,1.0,1.0,3.0,0.0,10.0
396,0.3619808329866632,0.0066113057851951,0.001096724078542,0.0169416302916168,0.0870879559676941,0.9616556220059364,1.0,0.0104628944773175,0.9999828667692972,0.948852659701052,4.0,0.0209554817809207,10.0
397,0.5900749878563845,0.1054376657824933,0.036037684075734,0.0865177387267904,0.1067096993375233,0.9823714258198216,0.989396027816336,0.0936433857516953,0.9945175438596492,0.9692667896528409,5.0,0.1715072720190856,8.0
398,0.5,0.0,0.0,0.0195312499999999,0.0195312499999999,0.9594203740797316,0.974539949261235,0.1100645535804133,1.0,0.0,4.0,0.0,8.0
399,0.3593785716661797,0.16875,0.1124999999999999,0.16875,0.0151367187499999,0.9987951060668654,0.9918045755574292,0.0581360735768088,1.0,0.0852981954033666,3.0,0.1124999999999999,9.0
400,0.0,0.0197865470449548,0.0028383381324557,0.0298981377545684,0.125,1.0,0.9723839942319688,0.0951416526291355,1.0,0.625,2.0,0.0764671791269265,14.0
401,0.6666666666666666,0.0,0.0,0.0,0.0,0.9829687679153816,0.9901235424802094,0.1215637722802343,1.0,1.0,2.0,0.0,13.0
402,0.3487617878704454,0.0083583099481754,0.0005347593582887,0.0304812834224599,0.0828673252883242,0.9297910923560812,0.9781520254893036,0.1512163050624589,1.0,0.936036375574381,5.0,0.0202712504109363,10.0
403,0.4,0.0,0.0,0.0,0.2,0.9477391292129158,0.9435416260268332,0.0609883607516743,1.0,1.0,6.0,0.0,9.0
404,0.3071537342677151,0.0083583099481754,0.0005347593582887,0.0213903743315508,0.0828673252883242,0.9880949193514456,0.9879244081984662,0.0831700939263884,1.0,0.952145110236372,5.0,0.0282840902655236,9.0
405,0.3880597014925373,0.0169491525423728,0.0,0.0169491525423728,0.044776119402985,0.9716963339912356,0.9811098546215226,0.1164333985524976,1.0,0.9850746268656716,6.0,0.1016949152542373,9.0
406,0.4285714285714285,0.0,0.0,0.0769230769230769,0.1428571428571428,0.9164797158754376,0.9643565111394968,0.0666487741357323,1.0,0.3571428571428572,2.0,0.0,14.0
407,0.5,0.0,0.0,0.1666666666666667,0.0,0.9134155905732794,0.9816560698976112,0.1756974135065472,1.0,1.0,5.0,0.0,9.0
408,0.3332233149458439,0.0175504032567023,0.007807486631016,0.0201885253330916,0.0828673252883242,0.9072238160063866,0.9481427547017692,0.07854153299346,1.0,0.6548916283860181,1.0,0.0173803026894801,14.0
409,0.3333333333333333,0.0,0.0,0.0,0.2,0.9645520793281996,0.9941258398024956,0.1407093322418371,1.0,0.4666666666666667,5.0,0.0,10.0
410,0.3211984708813319,0.023668096918448,0.010111065405183,0.039303743780314,0.0828673252883242,0.9914398737853674,0.9834194996245786,0.0536790253181577,1.0,0.6005946924406345,2.0,0.036204948438501,12.0
411,0.5,0.0,0.0,0.0,0.0,0.9550567374201802,0.9792318756573544,0.1771613479425036,1.0,0.25,5.0,0.125,13.0
