Año,Provincia,Distrito,Mes,Casos
2023,CALLAO,MI PERU,Mayo,42.0
2023,CALLAO,MI PERU,Noviembre,24.0
2023,CALLAO,MI PERU,Octubre,18.0
2023,CALLAO,MI PERU,Setiembre,31.0
2023,CALLAO,VENTANILLA,Abril,42.0
2023,CALLAO,VENTANILLA,Diciembre,2.0
2023,CALLAO,VENTANILLA,Junio,94.0
2023,CALLAO,VENTANILLA,Mayo,65.0
2023,CALLAO,VENTANILLA,Noviembre,3.0
2023,CALLAO,VENTANILLA,Octubre,2.0
2023,CANTA,HUAMANTANGA,Mayo,2.0
2023,HUARAL,AUCALLAMA,Octubre,1.0
2023,HUARAL,HUARAL,Mayo,3.0
2023,HUAROCHIRI,RICARDO PALMA,Mayo,2.0
2023,HUAROCHIRI,SAN ANTONIO,Diciembre,1.0
2023,HUAROCHIRI,SAN ANTONIO,Julio,16.0
2023,HUAROCHIRI,SAN ANTONIO,Junio,30.0
2023,HUAROCHIRI,SAN ANTONIO,Mayo,4.0
2023,HUAROCHIRI,SAN ANTONIO,Noviembre,4.0
2023,HUAROCHIRI,SAN ANTONIO,Octubre,2.0
2023,HUAROCHIRI,SAN ANTONIO,Setiembre,1.0
2023,HUAROCHIRI,SAN MATEO,Febrero,1.0
2023,HUAROCHIRI,SANTA EULALIA,Enero,1.0
2023,HUAROCHIRI,SANTA EULALIA,Junio,7.0
2023,HUAROCHIRI,SANTA EULALIA,Mayo,2.0
2023,HUAROCHIRI,SANTA EULALIA,Setiembre,1.0
2023,HUAURA,HUACHO,Mayo,2.0
2023,HUAURA,SAYAN,Junio,1.0
2023,LIMA,ANCON,Abril,11.0
2023,LIMA,ANCON,Agosto,14.0
2023,LIMA,ANCON,Diciembre,1.0
2023,LIMA,ANCON,Julio,45.0
2023,LIMA,ANCON,Junio,76.0
2023,LIMA,ANCON,Mayo,77.0
2023,LIMA,ANCON,Noviembre,2.0
2023,LIMA,ANCON,Setiembre,5.0
2023,LIMA,ATE,Abril,140.0
2023,LIMA,ATE,Agosto,36.0
2023,LIMA,ATE,Diciembre,2.0
2023,LIMA,ATE,Enero,3.0
2023,LIMA,ATE,Febrero,8.0
2023,LIMA,ATE,Julio,96.0
2023,LIMA,ATE,Junio,539.0
2023,LIMA,ATE,Marzo,32.0
2023,LIMA,ATE,Mayo,623.0
2023,LIMA,ATE,Noviembre,9.0
2023,LIMA,ATE,Octubre,16.0
2023,LIMA,ATE,Setiembre,9.0
2023,LIMA,BARRANCO,Mayo,5.0
2023,LIMA,BREÑA,Mayo,8.0
2023,LIMA,BREÑA,Octubre,2.0
2023,LIMA,BREÑA,Setiembre,2.0
2023,LIMA,CARABAYLLO,Abril,28.0
2023,LIMA,CARABAYLLO,Agosto,44.0
2023,LIMA,CARABAYLLO,Diciembre,5.0
2023,LIMA,CARABAYLLO,Enero,1.0
2023,LIMA,CARABAYLLO,Julio,88.0
2023,LIMA,CARABAYLLO,Junio,194.0
2023,LIMA,CARABAYLLO,Marzo,4.0
2023,LIMA,CARABAYLLO,Mayo,201.0
2023,LIMA,CARABAYLLO,Noviembre,6.0
2023,LIMA,CARABAYLLO,Octubre,7.0
2023,LIMA,CARABAYLLO,Setiembre,18.0
2023,LIMA,CHACLACAYO,Abril,59.0
2023,LIMA,CHACLACAYO,Agosto,9.0
2023,LIMA,CHACLACAYO,Diciembre,3.0
2023,LIMA,CHACLACAYO,Febrero,7.0
2023,LIMA,CHACLACAYO,Julio,42.0
2023,LIMA,CHACLACAYO,Junio,117.0
2023,LIMA,CHACLACAYO,Marzo,47.0
2023,LIMA,CHACLACAYO,Mayo,306.0
2023,LIMA,CHACLACAYO,Octubre,1.0
2023,LIMA,CHACLACAYO,Setiembre,1.0
2023,LIMA,CHORRILLOS,Agosto,2.0
2023,LIMA,CHORRILLOS,Diciembre,3.0
2023,LIMA,CHORRILLOS,Enero,1.0
2023,LIMA,CHORRILLOS,Julio,19.0
2023,LIMA,CHORRILLOS,Junio,62.0
2023,LIMA,CHORRILLOS,Marzo,1.0
2023,LIMA,CHORRILLOS,Mayo,37.0
2023,LIMA,CHORRILLOS,Setiembre,5.0
2023,LIMA,CIENEGUILLA,Abril,3.0
2023,LIMA,CIENEGUILLA,Agosto,1.0
2023,LIMA,CIENEGUILLA,Julio,8.0
