,exposicion_basurales,exposicion_inundaciones,exposicion_precipicios,exposicion_deslizamientos,presión,sanitario_compartido,conserva_agua,vivienda_techo,prueba_cloro,agua_procedencia_1,conexión_sanitario_1,casos,separacion_basura,purificacion_agua,pluvio_min,pluvio_max,temp_max,temp_min,humedad,informacion_basura,satisf_barrido,satisf_basura,vivienda_pared,agua_potable,basura_recolec,barrido_calle,indice_riqueza,viento_min,viento_max
pluvio_max,-0.011145730629487703,0.030175773152962892,0.032506377252599,0.03423091060737535,-0.002889879853595267,0.014841317662884133,0.023381149015770826,0.011772849100028323,0.0162737158197261,-0.006694463533650014,0.02617381676303333,0.03835904408823723,0.04540938745008313,0.0068080707059665025,0.021437299840547312,1.0,0.05654519189828043,0.05232095496134374,0.05492362591192186,-0.013196128570866644,-0.024847760553796318,0.0007522226531663361,0.008425008295935529,-0.028740846638339087,-0.009141412224706926,-0.02205717034850269,-0.031808289587630746,-0.04269019907104302,0.02013747876520518
temp_max,-0.06143938714933288,0.04188582075870226,0.14733003627006416,0.01916786873530459,-0.47348990464356716,0.02235110840119829,0.05274677712766523,-0.03200287838572207,0.016148279044181268,0.04255585580198918,0.02717618512066557,0.33805406212440275,0.16475351941029692,0.10255735003860586,0.23742780300425434,0.05654519189828043,1.0,0.8380251336709165,0.8036051732469042,0.062171715098793115,-0.07400485080513879,-0.03486244519106617,0.008492474361054353,-0.09484182940176737,0.08474227504730866,-0.033433192460851364,-0.04510769808210989,-0.1908076839101798,0.23507577564397708
temp_min,-0.13258027397510963,-0.010837658298428192,0.06988628721994478,-0.10219475015398094,-0.48279166941659685,-0.07071789357981044,-0.019499100316702732,-0.059303284234682285,-0.015167732541035126,0.0069861699196508914,-0.00042554363675554463,0.32086076778639305,0.10420707603611462,0.031417182247809414,0.22553956911222175,0.05232095496134374,0.8380251336709165,1.0,0.8943269541648878,0.09368754136907002,0.007591719951925076,-0.011357587417481902,0.027790745539000652,-0.08783184257681985,0.11407058098338145,0.04257729075163307,0.0665100006444291,0.05270871529161951,0.29903818806359955
humedad,-0.1570281429763759,-0.06120767492570495,0.02399027162595385,-0.15706843258299424,-0.4937621321970429,-0.06605102984397664,-0.07776890318503712,-0.09418499567416874,-0.04838162816106141,-0.003949489464227533,-0.02309513231474701,0.29260905089564987,0.08864006537436984,0.008334820193002688,0.21604154042718202,0.05492362591192186,0.8036051732469042,0.8943269541648878,1.0,0.10699114264423717,0.004207796568340129,-0.01764249186455938,0.05127771379648753,-0.06677155096982748,0.14670428984347655,0.0971642755331225,0.1313567815635932,0.10659109989566515,0.31102164890813755
informacion_basura,-0.08842495724663599,-0.09406080831946009,0.02861593834298086,-0.09274300557027729,0.0018571006108347755,-0.18430967427527592,-0.14448356495908135,-0.10431014497944732,-0.0751576854306944,-0.07208421296534762,-0.07819033837701028,0.11963839161558684,0.22148374339829432,0.037194023376689894,0.002147238616108922,-0.013196128570866644,0.062171715098793115,0.09368754136907002,0.10699114264423717,1.0,0.11023544672823661,0.12027712813566671,-0.003966432907483688,-0.08608968467179062,0.13144961203593716,0.1693767844446885,0.18619894324058603,0.1240865586325915,0.12459571478525733
satisf_barrido,-0.20275653924047685,-0.03585807024472785,-0.05090400226287245,-0.1108389703122658,-0.03798763987000738,-0.19516574962487165,-0.19766600133198806,-0.03975253884498992,-0.08241436662223742,-0.07677989320283891,-0.0809092931869786,-0.1143282288846786,-0.12750837888514985,-0.01620864571554706,0.005487379646633987,-0.024847760553796318,-0.07400485080513879,0.007591719951925076,0.004207796568340129,0.11023544672823661,1.0,0.2685737748752525,0.01614464856616909,-0.014134589066324898,-0.08954868754937066,0.16720697500183965,0.1835862636430052,0.1236240896402766,-0.02621497777409412
satisf_basura,-0.07990775435046467,0.01693466314400075,0.00044911094096126796,-0.049413551743568505,-0.01293443076196925,-0.08139135298037468,-0.08812913669998071,-0.0735017230376238,-0.04047746877177608,-0.24615415273323207,-0.24348906372684878,-0.07527861837458709,-0.1137264631751304,0.024957692004003038,-0.011370500102490093,0.0007522226531663361,-0.03486244519106617,-0.011357587417481902,-0.01764249186455938,0.12027712813566671,0.2685737748752525,1.0,0.02951203438026912,-0.05894599338116819,-0.10057193190165324,0.14116394279759836,0.10220084533324783,0.025990133216817597,-0.04041043452400561
vivienda_pared,-0.07032125192646418,-0.055754662580117145,-0.09170693215011984,-0.08101728506163774,-0.05092551901099638,0.007753549042912063,-0.19655280463652236,-0.474523763846681,-0.33383793717549093,-0.06941697454582728,-0.06299147912300408,0.018956060355012242,-0.03911026181210051,-0.042121663028861514,0.001030213801557674,0.008425008295935529,0.008492474361054353,0.027790745539000652,0.05127771379648753,-0.003966432907483688,0.01614464856616909,0.02951203438026912,1.0,0.10576176630243522,0.07895920266725152,0.06986762425016864,0.2872091078315298,0.0670930708505235,0.028291456956723752
agua_potable,-0.17551809116469444,-0.19554142128125804,-0.3459348802835604,-0.18816559558141752,0.002478952494317213,0.047711112511361495,-0.17466865166621223,-0.10120270831620344,-0.07784581245286462,0.006445104409505822,-0.002334681536839595,0.02361061783859766,-0.005302415450473943,-0.10239578038314882,-0.02041670823119872,-0.028740846638339087,-0.09484182940176737,-0.08783184257681985,-0.06677155096982748,-0.08608968467179062,-0.014134589066324898,-0.05894599338116819,0.10576176630243522,1.0,0.284452435872566,0.19352884591012195,0.1015481727569617,0.06088467522292357,0.019121683973722815
basura_recolec,-0.15494263241079884,-0.24258496693304943,-0.2828287318250359,-0.2871045585658662,-0.0897716940649428,0.07085376013206131,-0.09525913343807342,-0.15667088907484206,-0.046428437604283175,0.04899673346697411,0.05866031239640958,0.1614359871799316,0.10631784132169837,-0.026386365250252806,0.05193757261399151,-0.009141412224706926,0.08474227504730866,0.11407058098338145,0.14670428984347655,0.13144961203593716,-0.08954868754937066,-0.10057193190165324,0.07895920266725152,0.284452435872566,1.0,0.2691437513132195,0.12088644986333352,0.10921528275250161,0.09645507550911697
barrido_calle,-0.2771937579183028,-0.416606597125119,-0.4478853995299934,-0.48681227614752093,-0.0879194800766153,-0.10590270365765396,-0.28189728069716663,-0.20855721050785198,-0.15642773347260042,-0.08472066041821684,-0.10438547797195198,-0.07476579803395166,-0.17818960409776738,-0.09933235439175282,0.0352964790670829,-0.02205717034850269,-0.033433192460851364,0.04257729075163307,0.0971642755331225,0.1693767844446885,0.16720697500183965,0.14116394279759836,0.06986762425016864,0.19352884591012195,0.2691437513132195,1.0,0.3750682437860548,0.25153070093423663,0.09107166056172533
indice_riqueza,-0.2677522897074478,-0.3232342352709363,-0.28014171209319866,-0.4038917602488044,-0.061270200353428596,-0.3096592525028004,-0.5364127618110623,-0.5436611342946669,-0.34800470134581823,-0.1127124690090633,-0.12437298437553578,-0.02965298583669763,-0.26090502645098046,-0.10825193792167634,0.011316514559442577,-0.031808289587630746,-0.04510769808210989,0.0665100006444291,0.1313567815635932,0.18619894324058603,0.1835862636430052,0.10220084533324783,0.2872091078315298,0.1015481727569617,0.12088644986333352,0.3750682437860548,1.0,0.3834359274025657,0.18650826826506553
viento_min,-0.1820313700326444,-0.2374773601721093,-0.17354588046487063,-0.2784025980145539,-0.022842822575772536,-0.11162293827579815,-0.2284319428926168,-0.18846760511973645,-0.14942524998751433,-0.08757467866137406,-0.0877134540388782,0.11313806394200118,-0.10053199139356936,-0.16898899869077302,-0.06260618009077258,-0.04269019907104302,-0.1908076839101798,0.05270871529161951,0.10659109989566515,0.1240865586325915,0.1236240896402766,0.025990133216817597,0.0670930708505235,0.06088467522292357,0.10921528275250161,0.25153070093423663,0.3834359274025657,1.0,0.4123231964703561
viento_max,-0.07335332021064164,-0.08633756168718486,0.0056646090096520085,-0.06719515553265618,-0.05465627535827574,0.005144808801667809,-0.10092357848905695,-0.09943784375433538,-0.09041468797451116,-0.00563900433240261,-0.018471321253894602,0.23893028972871716,0.04178426709053119,-0.0845683083775037,0.0520127370366271,0.02013747876520518,0.23507577564397708,0.29903818806359955,0.31102164890813755,0.12459571478525733,-0.02621497777409412,-0.04041043452400561,0.028291456956723752,0.019121683973722815,0.09645507550911697,0.09107166056172533,0.18650826826506553,0.4123231964703561,1.0
