Año,Semana,Ubigeo,HV201,HV205,HV213,HV214,HV215,SH49,SH227,HV270,HV225,HV237,SH48,SH50
2022,1,150131,1,1,2,2,1,3,0,4,0.0,0.9230769230769231,0.8333333333333334,0.8333333333333334
2022,1,150132,1,1,5,2,1,3,1,3,0.1387434554973822,0.9872122762148338,0.9772727272727273,0.9715909090909091
2022,1,150133,1,1,5,2,1,3,1,3,0.1372549019607843,0.9805194805194806,0.9859154929577465,0.971830985915493
2022,1,150134,1,1,5,2,1,3,1,4,0.10749573964339655,0.9675794045658858,0.9582739096471548,0.9443861249243048
2022,1,150135,1,1,5,2,1,3,1,4,0.1184668989547038,0.9895833333333334,0.9797979797979798,0.9797979797979798
2022,1,150136,1,1,2,2,1,3,1,4,0.02173913043478261,0.9782608695652174,0.9111111111111111,0.8666666666666667
2022,1,150137,1,1,5,2,1,3,1,3,0.1982758620689655,0.9568965517241379,0.9615384615384616,0.9615384615384616
2022,1,150138,1,1,5,2,1,3,1,4,0.1019429074218465,0.9780298575207695,0.9595072130187886,0.952192252798202
2022,1,150139,3,4,5,1,2,3,3,1,0.05263157894736842,0.8947368421052632,1.0,1.0
2022,1,150140,1,1,4,2,1,3,0,4,0.046875,0.984375,0.9230769230769231,0.8846153846153846
2022,1,150141,1,1,2,2,1,3,0,4,0.04166666666666666,1.0,1.0,0.9444444444444444
2022,1,70106,1,1,5,2,2,3,1,1,0.08078602620087336,0.9912854030501089,0.9870801033591732,0.9819121447028424
2022,1,150142,1,1,5,2,1,3,1,3,0.171875,1.0,0.9758064516129032,0.967741935483871
2022,1,150143,1,1,5,2,1,3,1,2,0.1181102362204724,0.9921875,0.9913793103448276,0.9913793103448276
2023,1,150102,3,2,5,2,2,3,1,2,0.03703703703703703,0.9629629629629629,0.9565217391304348,0.9565217391304348
2023,1,150103,1,1,5,2,1,3,1,3,0.1446540880503145,0.98125,0.9602649006622517,0.9536423841059603
2023,1,150104,1,1,2,2,1,3,0,4,0.0,1.0,0.6666666666666666,0.6666666666666666
2023,1,70102,1,1,4,2,1,3,1,4,0.04761904761904762,0.9761904761904762,0.9473684210526315,0.9473684210526315
2023,1,150105,1,1,4,2,1,3,1,4,0.1052631578947368,0.9736842105263158,0.9705882352941176,0.9411764705882353
2023,1,70101,1,1,5,2,1,3,1,4,0.1113320079522863,0.9841269841269841,0.9871244635193133,0.9678111587982833
2023,1,150106,1,1,5,2,1,3,1,4,0.147887323943662,0.958041958041958,0.9716312056737588,0.9645390070921985
2023,1,70103,1,1,5,2,1,3,1,3,0.1846153846153846,0.9692307692307692,0.9830508474576272,0.9661016949152542
2023,1,150107,1,1,5,2,1,3,1,3,0.13732894760174635,0.9856382567890327,0.9865068778047501,0.975023793314287
2023,1,150108,1,1,5,2,1,3,1,3,0.2096774193548387,0.9838709677419355,0.9911504424778761,0.9823008849557522
2023,1,150109,3,2,5,2,2,3,3,2,0.1428571428571428,1.0,1.0,1.0
2023,1,150110,1,1,5,2,1,3,1,3,0.1493212669683258,0.972972972972973,0.9906542056074766,0.9813084112149533
2023,1,150111,1,1,5,2,1,3,1,4,0.2638888888888889,0.9722222222222222,0.9552238805970149,0.9402985074626866
2023,1,150112,1,1,5,2,1,3,1,2,0.154639175257732,0.9896907216494846,0.989010989010989,0.989010989010989
2023,1,150113,1,1,3,2,1,3,0,4,0.0,1.0,1.0,1.0
2023,1,150114,1,1,4,2,1,3,1,4,0.05555555555555555,1.0,0.9375,0.90625
2023,1,70104,1,1,4,2,1,3,1,4,0.0379746835443038,0.9620253164556962,0.958904109589041,0.9452054794520548
2023,1,70105,1,1,4,2,1,3,1,4,0.08415632958241125,0.9812003242173235,0.9865068778047501,0.9383124509635731
2023,1,150115,1,1,2,2,1,3,0,4,0.1304347826086956,1.0,1.0,1.0
2023,1,150101,1,1,4,2,1,3,1,4,0.1590909090909091,0.9886363636363636,1.0,1.0
2023,1,150116,1,1,4,2,1,3,0,4,0.0,1.0,1.0,0.8333333333333334
