,Año,Semana,Ubigeo,casos,viento_prom,barrido_calle,separacion_basura,exposicion_basurales,exposicion_precipicios,exposicion_deslizamientos,agua_potable,sanitario_compartido,conserva_agua,purificacion_agua
461,2021,10,150110,1.0,-0.9654183570376793,0.2287272727272727,0.5,0.1161765028150026,0.0010513139358142,0.0044291729789504,1.0,0.1760897613336291,0.955446673867899,0.9797214321844108
469,2021,10,150101,10.0,-1.1449252508503236,0.96672,0.1265824817415788,0.0338729967258007,0.0008169423713682,0.0104460708184869,1.0,0.0375460471208073,0.9963655376453784,0.991499890251354
472,2021,10,150118,10.0,-1.1449252508503236,0.4952500088107535,0.3356443508049002,0.0594940822382905,0.0124711736936881,0.0292411085204818,0.9527272727272728,0.1134995978629287,1.0,0.993745906383434
480,2021,10,150125,1.0,-0.9654183570376793,0.4365649913344887,0.317603771885555,0.1228439181011752,0.0009888348279558,0.0060019460777814,1.0,0.1657728443129444,0.988299575924937,0.9830307989151156
499,2021,10,150143,2.0,-1.1449252508503236,0.1976947482594351,0.3333286956370215,0.1286352072949602,0.1228468605243209,0.1860761126082836,1.0,0.0624994268474486,0.9984532928389256,0.9918533965853992
506,2021,11,150106,8.0,-1.1260028717304724,0.3816803668212314,0.3935409523529697,0.0333447269124283,0.0036258959476958,0.0301295997386889,0.9740617604617604,0.0677583470825096,0.9210921236700902,0.9651086701109928
508,2021,11,150107,2.0,-1.277893320341171,0.5988358146296839,0.3332377939007888,0.0338246572448209,0.0065489171951445,0.035331871940922,0.9709090909090908,0.0819449357250832,0.9116696340248328,0.9512126424208996
515,2021,11,150114,1.0,-1.597016687119206,1.0,0.5,0.0193348795717891,0.0007653217619523,0.0056158701911223,1.0,0.0100573220705149,0.9362883402962916,1.0
519,2021,11,150101,59.0,-1.3040284236548896,0.88736,0.1311474452247365,0.0456935241613997,0.0012270018252642,0.0186852361951842,1.0,0.0389606132547031,0.996004216826498,0.9918844869381112
522,2021,11,150118,17.0,-1.120144837899756,0.3500472322829072,0.3811356465642581,0.0696868935234069,0.0140234917831529,0.0427311579558775,0.84,0.1132330640090468,1.0,0.9940607931269914
525,2021,11,70107,1.0,-1.1914640751721204,0.7810392704862262,0.2942558485891522,0.0614166916314442,0.0032297835016723,0.0192340996891421,1.0,0.1205070882089478,0.9422978371480591,0.9676172511500352
530,2021,11,150125,1.0,-1.011957181359476,0.3698856152512998,0.3303113156566651,0.1173908785772845,0.0033468255715429,0.0203142790324911,1.0,0.1647666786678523,0.9887386701264071,0.983026160302693
537,2021,11,150132,3.0,-0.9690447589328847,0.2737001519759586,0.4095120879120879,0.1291743622655509,0.0299969312994382,0.0958544659505088,1.0,0.1273540288929894,0.9891955854054996,0.9904839727361604
538,2021,11,150133,1.0,-1.2446513029684598,0.941311916875488,0.2793279521856791,0.0208110958023511,0.0011525707635247,0.0110068076778006,1.0,0.0719206801979145,0.9630882519638874,0.986206388731999
549,2021,11,150143,1.0,-1.2496376055743665,0.2871831126693028,0.3333264283048631,0.1171541244073647,0.0977003242657603,0.1528729965203444,1.0,0.0646508115684141,0.9982827969723812,0.991876168245803
